Ddistrict,,Population,Area,Density
Aurangabad,,"2,511,243","3,303",760
Banka,,"2,029,339","3,018",672
Begusarai,,"2,954,367","1,917","1,540"
Bhagalpur,,"3,032,226","2,569","1,180"
Bhojpur,,"2,720,155","2,473","1,136"
Buxar,,"1,707,643","1,624","1,003"
Darbhanga,,"3,921,971","2,278","1,721"
East Champaran,,"5,082,868","3,969","1,281"
Gaya,,"4,379,383","4,978",880
Gopalganj,,"2,558,037","2,033","1,258"
Jamui,,"1,756,078","3,099",567
Jehanabad,,"1,124,176","1,569","1,206"
Kaimur,,"1,626,900","3,363",488
Katihar,,"3,068,149","3,056","1,004"
Khagaria,,"1,657,599","1,486","1,115"
Kishanganj,,"1,690,948","1,884",898
Lakhisarai,,"1,000,717","1,229",815
Madhepura,,"1,994,618","1,787","1,116"
Madhubani,,"4,476,044","3,501","1,279"
Munger,,"1,359,054","1,419",958
Muzaffarpur,,"4,778,610","3,173","1,506"
Nalanda,,"2,872,523","2,354","1,220"
Nawada,,"2,216,653","2,492",889
Patna,,"5,772,804","3,202","1,803"
Purnia,,"3,273,127","3,228","1,014"
Rohtas,,"2,962,593","3,850",763
Saharsa,,"1,897,102","1,702","1,125"
Samastipur,,"4,254,782","2,905","1,465"
Saran,,"3,943,098","2,641","1,493"
Sheikhpura,,"634,927",689,922
Sheohar,,"656,916",443,"1,882"
Sitamarhi,,"3,419,622","2,199","1,491"
Siwan,,"3,318,176","2,219","1,495"
Supaul,,"2,228,397","2,410",919
Vaishali,,"3,495,021","2,036","1,717"
West Champaran,,"3,935,042","5,229",753
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Balod,,"826,165","3,527",234
Baloda Bazar,,"1,305,343","4,748",275
Balrampur-Ramanujganj,,"730,491","3,806",190
Bastar,,"834,873","4,030",210
Bemetara,,"795,759","2,855",270
Bijapur,,"229,832","6,562",35
Bilaspur,,"1,961,922","3,508",460
Dantewada,,"533,638","3,411",59
Dhamtari,,"799,199","2,029",394
Durg,,"1,721,726","2,238",770
Gariaband,,"597,653","5,823",103
Gaurela-Pendra-Marwahi,,"336,420","2,307",150
Janjgir-Champa,,"1,620,632","3,848",421
Jashpur,,"852,043","5,825",146
Kabirdham,,"584,667","4,237",195
Kanker,,"748,593","6,513",115
Khairagarh-Chhuikhadan-Gandai,,"368,444",-,
Kondagaon,,"578,326","7,768",74
Korba,,"1,206,563","6,615",183
Korea,,"659,039","6,578",100
Mahasamund,,"1,032,275","4,779",216
Manendragarh-Chirmiri-Bharatpur,,"422,248","1,726.39",
Mohla-Manpur-Ambagarh Chowki,,"283,947",-,
Mungeli,,"701,707","2,750",255
Narayanpur,,"140,206","6,640",20
Raigarh,,"1,493,627","7,068",211
Raipur,,"2,160,876","2,892",750
Rajnandgaon,,"1,537,520","8,062",191
Sarangarh-Bilaigarh,,"607,434",-,
Sakti,,"653,036",-,
Sukma,,"250,159","5,897",42
Surajpur,,"789,043","2,787",280
Surguja,,"839,661","3,265",150
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
North Goa,,"817,761","1,736",471
South Goa,,"639,962","1,966",326
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Ahmedabad,,"7,208,200",7170,890
Amreli,,"1,513,614","6,760",205
Anand,,"2,090,276","2,942",711
Aravalli,,"1,051,746","3,217",327
Banaskantha,,"3,116,045","12,703",290
Bharuch,,"1,550,822","6,524",238
Bhavnagar,,"2,877,961","11,155",288
Botad,,"656,005","2,564",256
Chhota Udaipur,,"1,071,831","3,237",331
Dahod,,"2,126,558","3,642",582
Dang,,"226,769","1,764",129
Devbhumi Dwarka,,"752,484","5,684",132
Gandhinagar,,"1,387,478",2163,660
Gir Somnath,,"1,217,477","3,754",324
Jamnagar,,"2,159,130","14,125",153
Junagadh,,"2,742,291","8,839",310
Kheda,,"2,298,934","4,215",541
Kutch,,"2,090,313","45,652",46
Mahisagar,,"994,624","2,500",440
Mehsana,,"2,027,727","4,386",462
Morbi,,"960,329","4,871",197
Narmada,,"590,379","2,749",214
Navsari,,"1,330,711","2,211",602
Panchmahal,,"2,388,267","5,219",458
Patan,,"1,342,746","5,738",234
Porbandar,,"586,062","2,294",255
Rajkot,,"3,157,676","11,203",282
Sabarkantha,,"2,427,346","7,390",328
Surat,,"6,081,322","4,418",953
Surendranagar,,"1,755,873","10,489",167
Tapi,,"806,489","3,435",249
Vadodara,,"3,639,775",4312,467
Valsad,,"1,703,068","3,034",561
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Ambala,,"1,136,784","1,569",722
Bhiwani,,"1,629,109","5,140",341
Charkhi Dadri,,"502,276",1370,367
Faridabad,,"1,798,954",783,"2,298"
Fatehabad,,"941,522","2,538",371
Gurugram,,"1,514,085","1,258","1,241"
Hisar,,"1,742,815","3,788",438
Jhajjar,,"956,907","1,868",522
Jind,,"1,332,042","2,702",493
Kaithal,,"1,072,861","2,799",467
Karnal,,"1,506,323","2,471",598
Kurukshetra,,"964,231","1,530",630
Mahendragarh,,"921,680","1,900",485
Nuh,,"1,089,406","1,765",729
Palwal,,"1,040,493","1,367",761
Panchkula,,"558,890",816,622
Panipat,,"1,202,811","1,250",949
Rewari,,"896,129","1,559",562
Rohtak,,"1,058,683","1,668",607
Sirsa,,"1,295,114","4,276",303
Sonipat,,"1,480,080","2,260",697
Yamunanagar,,"1,214,162","1,756",687
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Bilaspur,,"382,056","1,167",327
Chamba,,"518,844","6,528",80
Hamirpur,,"454,293","1,118",406
Kangra,,"1,507,223","5,739",263
Kinnaur,,"84,298","6,401",13
Kullu,,"437,474","5,503",79
Lahaul and Spiti,,"18,528","7,835",2.3
Mandi,,"999,518","3,950",253
Shimla,,"813,384","5,131",159
Sirmaur,,"530,164","2,825",188
Solan,,"576,670","1,936",298
Una,,"521,057","1,540",328
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Bokaro,,"2,061,918","2,883",716
Chatra,,"1,042,304","3,700",275
Deoghar,,"1,491,879","2,479",602
Dhanbad,,"2,682,662","2,040","1,316"
Dumka,,"1,321,096","4,404",300
East Singhbhum,,"2,291,032","3,562",648
Garhwa,,"1,322,387","4,064",327
Giridih,,"2,445,203","4,887",497
Godda,,"1,311,382","2,110",622
Gumla,,"1,025,656","5,360",191
Hazaribag,,"1,734,495","3,555",488
Jamtara,,"790,207","1,802",439
Khunti,,"530,299","2,535",210
Koderma,,"716,259","2,540",282
Latehar,,"725,673","3,630",200
Lohardaga,,"461,738","1,502",307
Pakur,,"899,200","1,805",498
Palamu,,"1,936,319","4,393",442
Ramgarh,,"949,159","1,341",708
Ranchi,,"2,912,022","5,097",572
Sahibganj,,"1,150,038","2,063",558
Seraikela-Kharsawan,,"1,063,458","2,657",401
Simdega,,"599,813","3,750",160
West Singhbhum,,"1,501,619","7,224",209
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Bagalkot,,"1,890,826","6,583",288
Ballari,,"1,400,970","4,252",330
Belagavi,,"4,778,439","13,415",356
Bangalore Rural,,"987,257","2,239",441
Bangalore Urban,,"9,588,910","2,190","4,378"
Bidar,,"1,700,018","5,448",312
Chamarajanagar,,"1,020,962","5,102",200
Chikkaballapur,,"1,254,377","4,208",298
Chikmagalur,,"1,137,753","7,201",158
Chitradurga,,"1,660,378","8,437",197
Dakshina Kannada,,"2,083,625","4,559",457
Davanagere,,"1,643,494","4,460",370
Dharwad,,"1,846,993","4,265",434
Gadaga,,"1,065,235","4,651",229
Kalaburagi,,"2,564,892","10,990",233
Hassan,,"1,776,221","6,814",261
Haveri,,"1,598,506","4,825",331
Kodagu,,"554,762","4,102",135
Kolar,,"1,540,231","4,012",384
Koppal,,"1,391,292","5,565",250
Mandya,,"1,808,680","4,961",365
Mysore,,"2,994,744","6,854",437
Raichur,,"1,924,773","6,839",228
Ramanagara,,"1,082,739","3,573",303
Shimoga,,"1,755,512","8,495",207
Tumakuru,,"2,681,449","10,598",253
Udupi,,"1,177,908","3,879",304
Uttara Kannada,,"1,353,299","10,291",132
Vijayanagara,,"1,353,628","5,644",240
Bijapur,,"2,175,102","10,517",207
Yadgir,,"1,172,985","5,225",224
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)[16]","Density 
(/km2)[9]"
Alappuzha,,"2,121,943","1,415","1,501"
Ernakulam,,"3,279,860","3,063","1,069"
Idukki,,"1,107,453","4,356",254
Kannur,,"2,525,637","2,961",852
Kasaragod,,"1,302,600","1,989",654
Kollam,,"2,629,703","2,483","1,056"
Kottayam,,"1,979,384","2,206",896
Kozhikode,,"3,089,543","2,345","1,318"
Malappuram,,"4,110,956","3,554","1,058"
Palakkad,,"2,810,892","4,482",627
Pathanamthitta,,"1,195,537","2,652",453
Thiruvananthapuram,,"3,307,284","2,189","1,509"
Thrissur,,"3,110,327","3,027","1,026"
Wayanad,,"816,558","2,130",383
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Agar Malwa,,"571,275","2,785",205
Alirajpur,,"728,677","3,182",229
Anuppur,,"749,521","3,747",200
Ashoknagar,,"844,979","4,674",181
Balaghat,,"1,701,156","9,229",184
Barwani,,"1,385,659","5,432",256
Betul,,"1,575,247","10,043",157
Bhind,,"1,703,562","4,459",382
Bhopal,,"2,368,145","2,772",854
Burhanpur,,"756,993","3,427",221
Chhatarpur,,"1,762,857","8,687",203
Chhindwara,,"2,090,306","11,815",177
Damoh,,"1,263,703","7,306",173
Datia,,"786,375","2,694",292
Dewas,,"1,563,107","7,020",223
Dhar,,"2,184,672","8,153",268
Dindori,,"704,218","7,427",94
Guna,,"1,240,938","6,485",194
Gwalior,,"2,030,543","5,465",445
Harda,,"570,302","3,339",171
Hoshangabad,,"1,240,975","6,698",185
Indore,,"3,272,335","3,898",839
Jabalpur,,"2,460,714","5,210",472
Jhabua,,"1,024,091","6,782",285
Katni,,"1,291,684","4,947",261
Khandwa,,"1,309,443","7,349",178
Khargone,,"1,872,413","8,010",233
Maihar,,-,-,-
Mandla,,"1,053,522","5,805",182
Mandsaur,,"1,339,832","5,530",242
Mauganj,,-,-,-
Morena,,"1,965,137","4,991",394
Narsinghpur,,"1,092,141","5,133",213
Neemuch,,"825,958","4,267",194
Niwari,,"404,807","1,170",345
Panna,,"1,016,028","7,135",142
Pandhurna,,-,-,-
Raisen,,"1,331,699","8,466",157
Rajgarh,,"1,546,541","6,143",251
Ratlam,,"1,454,483","4,861",299
Rewa,,"2,363,744","6,314",374
Sagar,,"2,378,295","10,252",272
Satna,,"2,228,619","7,502",297
Sehore,,"1,311,008","6,578",199
Seoni,,"1,378,876","8,758",157
Shahdol,,"1,064,989","6,205",172
Shajapur,,"1,512,353","6,196",244
Sheopur,,"687,952","6,585",104
Shivpuri,,"1,725,818","10,290",168
Sidhi,,"1,126,515","10,520",232
Singrauli,,"1,178,132","5,672",208
Tikamgarh,,"1,444,920","5,055",286
Ujjain,,"1,986,864","6,091",356
Umaria,,"643,579","4,062",158
Vidisha,,"1,458,212","7,362",198
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Ahmednagar,,"4,543,083","17,048",266
Akola,,"1,818,617","5,429",321
Amravati,,"2,887,826","12,235",237
Aurangabad,,"3,695,928","10,107",365
Beed,,"2,585,962","10,693",242
Bhandara,,"1,198,810","3,890",293
Buldhana,,"2,588,039","9,661",268
Chandrapur,,"2,194,262","11,443",192
Osmanabad,,"1,660,311","7,569",219
Dhule,,"2,048,781","8,095",285
Gadchiroli,,"1,071,795","14,412",74
Gondia,,"1,322,331","5,431",253
Hingoli,,"1,178,973","4,526",244
Jalgaon,,"4,224,442","11,765",359
Jalna,,"1,958,483","7,718",255
Kolhapur,,"3,874,015","7,685",504
Latur,,"2,455,543","7,157",343
Mumbai City,,"3,145,966",157,"20,036"
Mumbai Suburban,,"9,332,481",446,"21,000"
Nanded,,"3,356,566","10,528",319
Nandurbar,,"1,646,177","5,055",276
Nagpur,,"4,653,171","9,892",470
Nashik,,"6,109,052","15,539",393
Palghar,,"2,990,116","5,344",560
Parbhani,,"1,835,982","6,511",295
Pune,,"9,426,959","15,643",603
Raigad,,"2,635,394","7,152",368
Ratnagiri,,"1,612,672","8,208",196
Sangli,,"2,820,575","8,572",329
Satara,,"3,003,922","10,475",287
Sindhudurg,,"848,868","5,207",163
Solapur,,"4,315,527","14,895",290
Thane,,"8,070,032","4,214","1,915"
Wardha,,"1,296,157","6,309",205
Washim,,"1,196,714","5,155",244
Yavatmal,,"2,775,457","13,582",204
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Bishnupur,,"240,363",496,415
Chandel,,"144,028","3,317",37
Churachandpur,,"271,274","4,574",50
Imphal East,,"452,661",710,555
Imphal West,,"514,683",519,847
Jiribam,,"43,818",232,190
Kakching,,"135,481",190,710
Kamjong,,"45,616","2,000",23
Kangpokpi,,"193,744","1,698",110
Noney,,–,–,–
Pherzawl,,"47,250","2,285",21
Senapati,,"354,772","3,269",116
Tamenglong,,"140,143","4,391",25
Tengnoupal,,"59,110","1,213",49
Thoubal,,"420,517",514,713
Ukhrul,,"183,115","4,547",31
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
East Garo Hills,,"317,618","2,603",121
East Khasi Hills,,"824,059","2,752",292
East Jaintia Hills,,"122,436","2,115",58
Eastern West Khasi Hills,,"131,451","1,356",97
North Garo Hills,,"118,325","1,113",106
Ri Bhoi,,"258,380","2,378",109
South Garo Hills,,"142,574","1,850",77
South West Garo Hills,,"172,495",822,210
South West Khasi Hills,,"110,152","1,341",82
West Garo Hills,,"642,923","3,714",173
West Jaintia Hills,,"270,352","1,693",160
West Khasi Hills,,"385,601","5,247",73
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Aizawl,,"404,054","3,577",113
Champhai,,"125,370","3,168",39
Hnahthial,,"28,468",–,–
Khawzawl,,–,–,–
Kolasib,,"83,054","1,386",60
Lawngtlai,,"117,444","2,519",46
Lunglei,,"154,094","4,572",34
Mamit,,"85,757","2,967",28
Saiha,,"56,366","1,414",40
Saitual,,–,–,–
Serchhip,,"64,875","1,424",46
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Chümoukedima,,"125,400",570,220
Dimapur,,"379,769",926,410
Kiphire,,"74,033","1,255",66
Kohima,,"270,063","1,041",213
Longleng,,"50,593",885,89
Mokokchung,,"193,171","1,615",120
Mon,,"259,604","1,786",145
Niuland,,"42,287",483.63,87
Noklak,,"59,300","1,152",51
Peren,,"163,294","2,300",55
Phek,,"163,294","2,026",81
Shamator,,"34,223",469,73
Tseminyü,,"63,629",256,249
Tuensang,,"414,801","4,228",98
Wokha,,"166,239","1,628",120
Zunheboto,,"141,014","1,255",112
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Angul,,"1,271,703","6,232",199
Boudh,,"439,917","3,098",142
Bhadrak,,"1,506,522","2,505",601
Balangir,,"1,648,574","6,575",251
Bargarh,,"1,478,833","5,837",253
Balasore,,"2,317,419","3,634",609
Cuttack,,"2,618,708","3,932",666
Debagarh,,"312,164","2,781",106
Dhenkanal,,"1,192,948","4,452",268
Ganjam,,"3,529,031","8,206",430
Gajapati,,"575,880","3,850",133
Jharsuguda,,"579,499","2,081",274
Jajpur,,"1,826,275","2,888",630
Jagatsinghpur,,"1,136,604","1,759",681
Khordha,,"2,251,673","2,813",800
Kendujhar,,"1,802,777","8,240",217
Kalahandi,,"1,573,054","7,920",199
Kandhamal,,"731,952","8,021",91
Koraput,,"1,376,934","8,807",156
Kendrapara,,"1,439,891","2,644",545
Malkangiri,,"612,727","5,791",106
Mayurbhanj,,"2,513,895","10,418",241
Nabarangpur,,"1,218,762","5,294",230
Nuapada,,"606,490","3,408",157
Nayagarh,,"962,215","3,890",247
Puri,,"1,697,983","3,051",488
Rayagada,,"961,959","7,584.70",136
Sambalpur,,"1,044,410","6,702",158
Subarnapur,,"652,107","2,284",279
Sundargarh,,"2,080,664","9,712",214
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Amritsar,,"2,490,891","2,673",932
Barnala,,"596,294","1,423",419
Bathinda,,"1,388,859","3,355",414
Firozpur,,"2,026,831","5,334",380
Faridkot,,"618,008","1,472",424
Fatehgarh Sahib,,"599,814","1,180",508
Fazilka[a],,"1,180,483",3113,379
Gurdaspur,,"2,299,026","3,542",649
Hoshiarpur,,"1,582,793","3,397",466
Jalandhar,,"2,181,753","2,625",831
Kapurthala,,"817,668","1,646",501
Ludhiana,,"3,487,882","3,744",975
Malerkotla,,"429,754",684,629
Mansa,,"768,808","2,174",350
Moga,,"992,289","2,235",444
Sri Muktsar Sahib,,"902,702","2,596",348
Pathankot,,"626,154",929,674
Patiala,,"2,892,282","3,175",596
Rupnagar,,"683,349","1,400",488
Sahibzada Ajit Singh Nagar,,"986,147","1,188",830
Sangrur,,"1,654,408","3,685",449
Shahid Bhagat Singh Nagar,,"614,362","1,283",479
Tarn Taran,,"1,120,070","2,414",464
,,,,
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Anupgarh,,"869,696","8,871.99",98
Ajmer,,"2,584,913","8,481",305
Alwar,,"3,671,999","8,380",438
Balotra,,"970,760","19,000",51
Beawar,,NA,NA,NA
Bikaner,,"2,367,745","27,244",78
Barmer,,"2,604,453","28,387",92
Banswara,,"1,798,194","5,037",399
Bharatpur,,"2,549,121","5,066",503
Baran,,"1,223,921","6,955",175
Bundi,,"1,113,725","5,550",193
Bhilwara,,"2,410,459","10,455",230
Churu,,"2,041,172","16,830",148
Chittorgarh,,"1,544,392","10,856",193
Dausa,,"1,637,226","3,429",476
Deeg,,"1,072,755",NA,NA
Didwana Kuchaman,,"1,625,837",NA,239
Dholpur,,"1,207,293","3,084",398
Dudu,,"3,12,857",NA,NA
Dungarpur,,"1,388,906","3,771",368
Gangapur city,,NA,NA,NA
Sri Ganganagar,,"1,969,520","10,990",179
Hanumangarh,,"1,779,650","9,670",184
Jaipur Gramin,,NA,NA,NA
Jhunjhunu,,"2,139,658","5,928",361
Jalore,,"1,830,151","10,640",172
Jodhpur,,"3,685,681","22,850",161
Jodhpur Gramin,,NA,NA,NA
Jaipur,,"6,626,178","11,143",595
Jaisalmer,,"672,008","38,401",17
Jhalawar,,"1,411,327","6,219",227
Karauli,,"1,458,459","5,530",264
Kekri,,NA,NA,NA
Khairthal-Tijara,,"966,821",NA,NA
Kotputli-Behror,,NA,NA,NA
Kota,,"1,950,491","5,446",374
Tonk,,"1,421,711","7,194",198
Udaipur,,"3,067,549","13,430",242
Nagaur,,"3,309,234","17,718",187
Neem Ka Thana,,NA,NA,NA
Pali,,"2,038,533","12,387",165
Phalodi,,NA,NA,NA
Pratapgarh,,"867,848","4,112",211
Rajsamand,,"1,158,283","3,853",302
Sanchore,,"8,45,457",181,"4,865.41"
Salumbar,,NA,NA,NA
Sikar,,"2,677,737","7,732",346
Shahpura,,NA,NA,NA
Sawai Madhopur,,"1,338,114","4,500",257
Sirohi,,"1,037,185","5,136",202
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Gangtok,,"281,293",954,295
Mangan,,"43,354","4,226",10
Pakyong,,"74,583",404,180
Soreng,,"64,760",293,221
Namchi,,"146,742",750,196
Gyalshing,,"136,299","1,166",117
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Ariyalur,,"752,481","3,208",387
Chengalpattu,,"2,556,244","2,945",868
Chennai,,"7,139,882",426,"17,000"
Coimbatore,,"3,472,578","4,723",748
Cuddalore,,"2,600,880","3,999",702
Dharmapuri,,"1,502,900","4,532",332
Dindigul,,"2,161,367","6,058",357
Erode,,"2,259,608","5,714",397
Kallakurichi,,"1,682,687","3,520",478
Kanchipuram,,"1,166,401","1,656",704
Kanyakumari,,"1,863,178","1,685","1,106"
Karur,,"1,076,588","2,901",371
Krishnagiri,,"1,883,731","5,086",370
Madurai,,"3,191,038","3,676",823
Mayiladuthurai,,"918,356","1,172",784
Nagapattinam,,"1,614,069","2,716",668
Nilgiris,,"735,071","2,549",288
Namakkal,,"1,721,179","3,429",506
Perambalur,,"564,511","1,752",323
Pudukkottai,,"1,918,725","4,651",348
Ramanathapuram,,"1,337,560","4,123",320
Ranipet,,"1,210,277","2,234",524
Salem,,"3,480,008","5,245",663
Sivaganga,,"1,341,250","4,086",324
Tenkasi,,"14,07,627",2916,483
Tiruppur,,"2,471,222","5,106",476
Tiruchirappalli,,"2,713,858","4,407",602
Theni,,"1,243,684","3,066",433
Tirunelveli,,"1,665,253","3,842",433
Thanjavur,,"2,402,781","3,397",691
Thoothukudi,,"1,738,376","4,594",378
Tirupattur,,"1,111,812","1,798",618
Tiruvallur,,"3,725,697","3,424","1,049"
Tiruvarur,,"1,268,094","2,377",533
Tiruvannamalai,,"2,468,965","6,191",399
Vellore,,"1,614,242","2,080",776
Viluppuram,,"2,093,003","3,725",562
Virudhunagar,,"1,943,309","3,446",454
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Adilabad,,"708,952","4,185.97",171
Bhadradri Kothagudem,,"1,304,811","8,951.00",143
Hanamkonda,,"1,135,707","1,304.50",826
Hyderabad,,"3,943,323",217,"18,172"
Jagtial,,"983,414","3,043.23",407
Jangaon,,"582,457","2,187.50",259
Jayashankar Bhupalpally,,"712,257","6,361.70",115
Jogulamba Gadwal,,"664,971","2,928.00",208
Kamareddy,,"972,625","3,651.00",266
Karimnagar,,"1,016,063","2,379.07",473
Khammam,,"1,401,639","4,453.00",321
Kumuram Bheem Asifabad,,"515,835","4,300.16",106
Mahabubabad,,"770,170","2,876.70",269
Mahbubnagar,,"1,318,110","4,037.00",281
Mancherial,,"807,037","4,056.36",201
Medak,,"767,428","2,740.89",275
Medchal–Malkajgiri,,"2,542,203","5,005.98","2,251"
Mulugu,,"2,94,671","3,881",124
Nalgonda,,"1,631,399","2,449.79",227
Narayanpet,,"5,66,874",2336.44,243
Nagarkurnool,,"893,308","6,545.00",124
Nirmal,,"709,415","3,562.51",185
Nizamabad,,"1,534,428","4,153.00",366
Peddapalli,,"795,332","4,614.74",356
Rajanna Sircilla,,"546,121","2,030.89",273
Ranga Reddy,,"2,551,731","5,031.00",486
Sangareddy,,"1,527,628","4,464.87",347
Siddipet,,"993,376","3,425.19",279
Suryapet,,"1,099,560","3,374.47",305
Vikarabad,,"881,250","3,385.00",274
Wanaparthy,,"751,553","2,938.00",268
Warangal,,"716,457","2,175.50",330
Yadadri Bhuvanagiri,,"726,465","3,091.48",239
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Dhalai,,"377,988","2,400",157
Gomati,,"436,868",1522.8,287
Khowai[a],,"327,391",1005.67,326
North Tripura,,"415,946",1444.5,288
Sepahijala[b],,"484,233",1044.78,463
South Tripura,,"433,737",1534.2,283
Unakoti[c],,"277,335",591.93,469
West Tripura,,"917,534",942.55,973
,,,,
,,,,
,,,,
,,,,
,,,,
